rs3764650,abca7,
rs4147910,abca7,
rs4147911,abca7,
rs73505217,abca7,
rs78410552,abca7,
rs76348507,abca7,
rs67027268,abca7,
rs730482,bin1,
rs744373,bin1,
rs3865444,cd33,
rs12459419,cd33,
rs7245846,cd33,
rs199635234,cd33,
rs34912427,cd33,
rs33978622,cd33,
rs34813869,cd33,
rs1354106,cd33,
rs4844600,cr1,
rs12037841,cr1,
rs4266886,cr1,
rs4562624,cr1,
rs6656401,cr1,
rs6661489,cr1,
rs7515905,cr1,
rs1752684,cr1,
rs679515,cr1,
rs3818361,cr1,
rs6701713,cr1,
rs2093761,cr1,
rs2093760,cr1,
rs2296160,cr1,
rs10863417,cr1,
rs10863418,cr1,
rs10863420,cr1,
rs1830763,cr1,
rs1408078,cr1,
rs4844610,cr1,
rs1408077,cr1,
rs111958034,cr1,
rs7110631,picalm,
rs7941541,picalm,
rs10792832,picalm,
rs3851179,picalm,
rs541458,picalm,new
rs535590,picalm,new
rs565719,picalm,new
rs631639,picalm,new
rs561655,picalm,new
rs526904,picalm,new
rs497816,picalm,new
rs1237999,picalm,new
rs59097112,picalm,new
rs472486,picalm,new
rs35114168,bin1,new
rs11680911,bin1,new
rs7561528,bin1,new
rs4844600,cr1,new
rs12037841,cr1,new
rs4266886,cr1,new
rs4562624,cr1,new
rs6656401,cr1,new
rs6661489,cr1,new
rs7515905,cr1,new
rs1752684,cr1,new
rs679515,cr1,new
rs3818361,cr1,new
rs6701713,cr1,new
rs2093761,cr1,new
rs2093760,cr1,new
rs2296160,cr1,new
rs10863417,cr1,new
rs10863418,cr1,new
rs10863420,cr1,new
rs1830763,cr1,new
rs1408078,cr1,new
rs4844610,cr1,new
rs1408077,cr1,new
rs111958034,cr1,new
rs3752246,abca7,new
rs4147929,abca7,new
